timestamp_ms,frame,left_ear,left_ear_smooth,left_state,right_ear,right_ear_smooth,right_state,avg_ear,avg_ear_smooth,blink_count,left_winks,right_winks,threshold
0,1,0.283,0.283,OPEN,0.303,0.303,OPEN,0.293,0.293,0,0,0,0.21
33,2,0.282,0.282,OPEN,0.292,0.297,OPEN,0.287,0.289,0,0,0,0.21
66,3,0.275,0.28,OPEN,0.285,0.293,OPEN,0.28,0.286,0,0,0,0.21
99,4,0.271,0.278,OPEN,0.275,0.289,OPEN,0.273,0.283,0,0,0,0.21
133,5,0.271,0.276,OPEN,0.275,0.286,OPEN,0.273,0.281,0,0,0,0.21
166,6,0.275,0.275,OPEN,0.275,0.28,OPEN,0.275,0.278,0,0,0,0.21
199,7,0.275,0.273,OPEN,0.275,0.277,OPEN,0.275,0.275,0,0,0,0.21
233,8,0.275,0.273,OPEN,0.275,0.275,OPEN,0.275,0.274,0,0,0,0.21
266,9,0.285,0.276,OPEN,0.275,0.275,OPEN,0.28,0.276,0,0,0,0.21
299,10,0.275,0.277,OPEN,0.265,0.273,OPEN,0.27,0.275,0,0,0,0.21
333,11,0.101,0.242,OPEN,0.125,0.243,OPEN,0.113,0.242,0,0,0,0.21
366,12,0.014,0.19,CLOSED,0.028,0.194,CLOSED,0.021,0.192,0,0,0,0.21
399,13,0.035,0.142,CLOSED,0.022,0.143,CLOSED,0.029,0.142,0,0,0,0.21
433,14,0.023,0.09,CLOSED,0.05,0.098,CLOSED,0.037,0.094,0,0,0,0.21
466,15,0.1,0.055,CLOSED,0.102,0.065,CLOSED,0.101,0.06,0,0,0,0.21
499,16,0.171,0.069,CLOSED,0.179,0.076,CLOSED,0.175,0.073,0,0,0,0.21
533,17,0.23,0.112,CLOSED,0.212,0.113,CLOSED,0.221,0.113,0,0,0,0.21
566,18,0.27,0.159,CLOSED,0.25,0.159,CLOSED,0.26,0.159,0,0,0,0.21
599,19,0.27,0.208,CLOSED,0.269,0.202,CLOSED,0.27,0.205,0,0,0,0.21
